6m9qPYXmhge2QhBLfFKnVF, Chance the Rapper, Same Drugs
0v9Wz8o0BT8DU38R4ddjeH, Chance the Rapper, No Problem (feat. Lil Wayne & 2 Chainz)
3eze1OsZ1rqeXkKStNfTmi, Chance the Rapper, Juke Jam (feat. Justin Bieber & Towkio)
7LnU4vflcZ8fyuFaVxGtuN, Tedosio, The Book of Jen
60xaS8mYBKUW4VQQ666N0T, Chance the Rapper, All Night (feat. Knox Fortune)
1Uq3IOIy1CUlHUgP6vWpum, Chance the Rapper, Smoke Break (feat. Future)
1D23GEeQ32aqLw5ZnY3Ivp, Ski Mask The Slump God, COOLEST MONKEY IN THE JUNGLE
3ZLyt2ndLFBh148XRYjYYZ, Chance the Rapper, All We Got (feat. Kanye West & Chicago Children's Choir)
4aXYjdLxgXUgFgQk23t8Tv, Emily Blunt, A Cover Is Not the Book
0jx8zY5JQsS4YEQcfkoc5C, Chance the Rapper, Angels (feat. Saba)
6A8dnC0xkiuWN4BshmTB2I, A R I Z O N A, Oceans Away
0AS090YJNo3vh75GrFxwbX, A R I Z O N A, Electric Touch
4FjPJhlEIWB9QVKFTc78Nn, A R I Z O N A, Cross My Mind
76viqO3tGyWHYbJgmV2gfN, A R I Z O N A, Ain't Gonna Leave
5j4mKTvOu0cr4cooq57sm3, A R I Z O N A, Where I Wanna Be
2driOHZZnMIlaUIt9e3SRD, A R I Z O N A, Feed The Beast
6se160dvONwrpI4G51bnVE, A R I Z O N A, Annie
7yVJlhAZlZ4O1jlJCkMXD6, Mario Vazquez, Gallery
2PaNQL6MhyTLquEuvdNKbo, A R I Z O N A, Brave Enough
3a2MbZSw3NGRWHqsCJ4iQj, A R I Z O N A, I Was Wrong
4sY3JiBfTCqInH7Tov3dxx, Flatbush Zombies, Trade-Off
62lc21zAcKWs11pbSOabO9, Panic! At The Disco, Trade Mistakes
6180Fv9Y1zovHtrIVaTGSM, Q-Tip, Won't Trade
5ZE02ouaApixtVMLd96E67, Jason Derulo, Trade Hearts (feat. Julia Michaels)
6h7PQQIUQSNSAWqRe98MBU, Fabolous, Trade It All PT2 (feat. P. Diddy & Jagged Edge)
2Wq7Qx5RARpdZ7Kxp5LUSc, Leftöver Crack, Gang Control
2gr9rXVQf8PwBW2S9ug2dR, Todrick Hall, T.H.U.G. (Trade)
4DTbk7mzNYJkZDE49xAsw0, Max & Harvey, Trade Hearts
1x4co3nrqL4kuiqYXh0nJk, Fabolous, Trade It All (feat. Jagged Edge)
